,Unnamed: 0,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
135,Emory & Henry College,Yes,765,646,226,30,60,809,32,8578,4408,700,1600,79,88,13.9,51,8061,82,Emory & Henry College,Virginia,VA,Private,4 Year,12100.0,35135,47235,35135,47235
136,Emory University,Yes,8506,4168,1236,76,97,5544,192,17600,6000,600,870,97,98,5.0,28,28457,96,Emory University,Georgia,GA,Private,4 Year,14456.0,51306,65762,51306,65762
137,Emporia State University,No,1256,1256,853,43,79,3957,588,5401,3144,450,1888,72,75,19.3,4,5527,50,Emporia State University,Kansas,KS,Public,4 Year,8912.0,6758,15670,20675,29587
138,Erskine College,Yes,659,557,167,47,74,532,35,10485,3840,475,1246,76,80,13.5,47,7527,67,Erskine College,South Carolina,SC,Private,4 Year,10900.0,34560,45460,34560,45460
139,Eureka College,Yes,560,454,113,36,56,484,16,10955,3450,330,670,62,87,10.6,31,9552,53,Eureka College,Illinois,IL,Private,4 Year,9620.0,25390,35010,25390,35010
140,Evergreen State College,No,1801,1101,438,14,50,3065,363,6297,4600,600,1323,75,78,18.1,14,8355,68,Evergreen State College,Washington,WA,Public,4 Year,11346.0,7949,19295,26459,37805
141,Fairfield University,Yes,4784,3346,781,30,66,2984,1037,15000,6200,700,1100,86,90,15.1,30,11220,94,Fairfield University,Connecticut,CT,Private,4 Year,14710.0,48350,63060,48350,63060
142,Fayetteville State University,No,1455,1064,452,1,16,2632,617,6806,2550,350,766,75,75,15.1,10,6972,24,Fayetteville State University,North Carolina,NC,Public,4 Year,8236.0,4915,13151,16523,24759
143,Ferrum College,Yes,1339,1107,336,12,36,1051,82,9400,4200,500,1600,53,58,12.5,9,7967,22,Ferrum College,Virginia,VA,Private,4 Year,11500.0,34175,45675,34175,45675
144,Flagler College,Yes,1415,714,338,18,52,1345,44,5120,3200,500,2140,52,60,18.1,9,3930,69,Flagler College,Florida,FL,Private,4 Year,11340.0,18950,30290,18950,30290
145,Florida Institute of Technology,Yes,1947,1580,523,39,74,1863,233,13900,4140,750,1500,90,90,10.6,7,8923,57,Florida Institute of Technology,Florida,FL,Private,4 Year,12880.0,41850,54730,41850,54730
146,Florida International University,No,3306,2079,1071,42,89,10208,9310,6597,2494,800,3028,81,96,13.9,20,6722,66,Florida International University,Florida,FL,Public,4 Year,10882.0,6558,17440,18956,29838
147,Florida Southern College,Yes,1381,1040,374,20,44,1506,970,8025,4865,400,650,65,74,17.4,10,6339,68,Florida Southern College,Florida,FL,Private,4 Year,11650.0,36348,47998,36348,47998
148,Florida State University,No,11651,8683,3023,50,90,18906,3242,6680,4060,600,1020,80,89,23.1,15,7250,58,Florida State University,Florida,FL,Public,4 Year,10816.0,6516,17332,21683,32499
149,Fordham University,Yes,4200,2874,942,30,55,4740,1646,14235,6965,600,1735,86,97,14.4,14,10864,80,Fordham University,New York,NY,Private,4 Year,17969.0,52687,70656,52687,70656
150,Fort Lewis College,No,3440,2823,1123,16,35,3793,486,6198,3320,500,2500,89,97,19.1,6,4362,46,Fort Lewis College,Colorado,CO,Public,4 Year,9878.0,9040,18918,19696,29574
151,Francis Marion University,No,1801,1655,819,13,38,3224,436,5840,3138,400,2430,76,76,19.1,8,5039,43,Francis Marion University,South Carolina,SC,Public,4 Year,7948.0,11160,19108,21544,29492
152,Franciscan University of Steubenville,Yes,553,452,228,22,49,1301,242,9650,4400,600,1000,57,69,14.9,8,6336,83,Franciscan University of Steubenville,Ohio,OH,Private,4 Year,8500.0,27630,36130,27630,36130
153,Franklin College,Yes,804,632,281,29,72,840,68,10390,4040,525,1345,54,78,12.5,37,11751,60,Franklin College,Indiana,IN,Private,4 Year,9946.0,32010,41956,32010,41956
154,Freed-Hardeman University,Yes,895,548,314,20,54,1174,50,5500,3340,600,1600,68,76,16.1,13,6078,62,Freed-Hardeman University,Tennessee,TN,Private,4 Year,8260.0,21950,30210,21950,30210
155,Furman University,Yes,2161,1951,685,56,82,2371,175,13440,4048,600,1250,92,95,13.5,28,12940,82,Furman University,South Carolina,SC,Private,4 Year,12712.0,49532,62244,49532,62244
156,Gannon University,Yes,2464,1908,678,24,57,2693,691,10970,4280,500,1380,47,51,13.3,18,7711,65,Gannon University,Pennsylvania,PA,Private,4 Year,12650.0,32136,44786,32136,44786
157,Geneva College,Yes,668,534,237,19,39,1306,258,9476,4820,500,1100,67,67,20.1,26,6786,74,Geneva College,Pennsylvania,PA,Private,4 Year,10170.0,26730,36900,26730,36900
158,George Mason University,No,5653,4326,1727,17,29,9528,3822,10800,4840,580,1050,93,96,19.3,7,6751,46,George Mason University,Virginia,VA,Public,4 Year,11460.0,12462,23922,35922,47382
160,Georgetown College,Yes,727,693,286,30,55,1063,48,8100,3950,550,550,73,76,13.3,28,7508,55,Georgetown College,Kentucky,KY,Private,4 Year,9780.0,38650,48430,38650,48430
162,Georgia Institute of Technology,No,7837,4527,2276,89,99,8528,654,6489,4438,795,1164,92,92,19.3,33,11271,70,Georgia Institute of Technology,Georgia,GA,Public,4 Year,11884.0,12424,24308,33020,44904
163,Georgia State University,No,3793,2341,1238,9,24,7732,9054,6744,2655,720,3450,87,89,19.0,10,7762,34,Georgia State University,Georgia,GA,Public,4 Year,11378.0,10858,22236,29432,40810
164,Gettysburg College,Yes,3596,2466,575,42,78,1944,46,19964,4328,500,500,94,95,12.1,32,14720,83,Gettysburg College,Pennsylvania,PA,Private,4 Year,13010.0,54480,67490,54480,67490
165,Gonzaga University,Yes,1886,1524,526,31,67,2523,296,13000,4450,600,2400,78,90,14.7,32,9553,69,Gonzaga University,Washington,WA,Private,4 Year,11944.0,43210,55154,43210,55154
166,Gordon College,Yes,674,565,282,25,54,1151,39,12200,4070,400,1200,73,82,14.2,32,9226,66,Gordon College,Massachusetts,MA,Private,4 Year,11070.0,37400,48470,37400,48470
167,Goshen College,Yes,440,396,221,26,51,910,166,9420,3730,600,1230,51,56,9.9,46,10270,72,Goshen College,Indiana,IN,Private,4 Year,10650.0,33700,44350,33700,44350
168,Goucher College,Yes,1151,813,248,40,64,850,80,15588,6174,500,1200,78,90,9.2,34,16623,77,Goucher College,Maryland,MD,Private,4 Year,14506.0,44300,58806,44300,58806
169,Grand Valley State University,No,5165,3887,1561,20,60,8234,2619,6108,3800,500,1000,64,66,20.6,9,5063,57,Grand Valley State University,Michigan,MI,Public,4 Year,8690.0,12484,21174,17762,26452
170,Green Mountain College,Yes,780,628,198,7,20,545,42,11750,2700,400,850,77,83,14.0,24,6475,76,Green Mountain College,Vermont,VT,Private,4 Year,11722.0,37002,48724,37002,48724
171,Greensboro College,Yes,608,494,176,10,31,649,314,8330,3770,550,1300,64,80,13.0,31,7949,39,Greensboro College,North Carolina,NC,Private,4 Year,10800.0,29140,39940,29140,39940
172,Grinnell College,Yes,2039,1389,432,56,91,1333,30,15688,4618,400,400,88,92,9.5,54,18979,83,Grinnell College,Iowa,IA,Private,4 Year,12810.0,52392,65202,52392,65202
173,Grove City College,Yes,2491,1110,573,57,88,2213,35,5224,3048,525,350,65,65,18.4,18,4957,100,Grove City College,Pennsylvania,PA,Private,4 Year,9770.0,17930,27700,17930,27700
174,Guilford College,Yes,1202,1054,326,18,44,1410,299,13404,5160,450,1050,78,86,15.6,30,9114,65,Guilford College,North Carolina,NC,Private,4 Year,11200.0,38250,49450,38250,49450
175,Gustavus Adolphus College,Yes,1709,1385,634,36,72,2281,50,14125,3600,400,700,79,89,12.5,58,9907,80,Gustavus Adolphus College,Minnesota,MN,Private,4 Year,9910.0,45400,55310,45400,55310
176,Hamilton College,Yes,3140,1783,454,40,82,1646,24,19700,5050,300,800,91,96,9.6,60,17761,91,Hamilton College,New York,NY,Private,4 Year,13870.0,54620,68490,54620,68490
177,Hamline University,Yes,1006,825,328,34,73,1362,102,13252,4194,450,550,89,93,13.0,33,10296,65,Hamline University,Minnesota,MN,Private,4 Year,10358.0,41298,51656,41298,51656
178,Hampton University,Yes,7178,3755,1433,25,63,4623,740,7161,3518,600,2000,60,64,14.0,9,6791,70,Hampton University,Virginia,VA,Private,4 Year,11778.0,26702,38480,26702,38480
179,Hanover College,Yes,1006,837,317,33,65,1024,15,8200,3485,500,1200,84,84,10.6,26,9248,64,Hanover College,Indiana,IN,Private,4 Year,11580.0,37670,49250,37670,49250
180,Hardin-Simmons University,Yes,467,424,350,16,40,1365,334,6300,2980,700,2140,75,79,13.7,10,7054,38,Hardin-Simmons University,Texas,TX,Private,4 Year,8080.0,28990,37070,28990,37070
181,Harding University,Yes,1721,1068,806,35,75,3128,213,5504,3528,700,910,71,77,17.7,37,6466,73,Harding University,Arkansas,AR,Private,4 Year,7044.0,20135,27179,20135,27179
182,Hartwick College,Yes,2083,1725,430,22,49,1464,67,17480,4780,500,700,75,87,12.3,32,11625,73,Hartwick College,New York,NY,Private,4 Year,12460.0,45510,57970,45510,57970
183,Harvey Mudd College,Yes,1377,572,178,95,100,654,5,17230,6690,700,900,100,100,8.2,46,21569,100,Harvey Mudd College,California,CA,Private,4 Year,18127.0,56876,75003,56876,75003
184,Hastings College,Yes,817,708,262,22,52,935,37,9376,3272,500,1902,57,63,13.0,17,7335,52,Hastings College,Nebraska,NE,Private,4 Year,9700.0,30050,39750,30050,39750
185,Hendrix College,Yes,823,721,274,52,87,954,6,8800,3195,500,1200,82,99,13.1,26,8588,63,Hendrix College,Arkansas,AR,Private,4 Year,12284.0,45790,58074,45790,58074
186,Hillsdale College,Yes,920,745,347,35,66,1133,42,11090,4700,400,750,80,80,12.0,31,12639,79,Hillsdale College,Michigan,MI,Private,4 Year,11000.0,27577,38577,27577,38577
187,Hiram College,Yes,922,729,244,37,66,1000,275,14067,4560,400,1000,75,95,10.6,34,12165,79,Hiram College,Ohio,OH,Private,4 Year,10290.0,34300,44590,34300,44590
188,Hobart and William Smith Colleges,Yes,2688,2081,500,25,53,1792,5,19029,5841,600,600,99,99,12.1,37,13040,79,Hobart and William Smith Colleges,New York,NY,Private,4 Year,14785.0,55255,70040,55255,70040
189,Hofstra University,Yes,7428,5860,1349,25,63,6534,1350,11600,5920,1000,1000,81,90,13.9,10,10093,60,Hofstra University,New York,NY,Private,4 Year,15948.0,46760,62708,46760,62708
190,Hood College,Yes,699,565,176,36,64,710,399,13960,6040,450,690,82,88,14.4,34,12434,72,Hood College,Maryland,MD,Private,4 Year,12700.0,39492,52192,39492,52192
191,Hope College,Yes,1712,1483,624,37,69,2505,208,12275,4341,465,1100,72,81,12.5,40,9284,72,Hope College,Michigan,MI,Private,4 Year,10310.0,34010,44320,34010,44320
192,Houghton College,Yes,949,786,302,30,70,1210,26,9990,3550,500,1500,85,90,15.0,24,8187,67,Houghton College,New York,NY,Private,4 Year,9288.0,32488,41776,32488,41776
193,Huntingdon College,Yes,608,520,127,26,47,538,126,8080,3920,500,1100,63,72,11.4,9,7703,44,Huntingdon College,Alabama,AL,Private,4 Year,9750.0,27400,37150,27400,37150
194,Illinois College,Yes,894,787,262,28,63,909,28,8050,3850,600,1000,75,75,15.6,30,7348,52,Illinois College,Illinois,IL,Private,4 Year,9280.0,33090,42370,33090,42370
195,Illinois Institute of Technology,Yes,1756,1360,478,42,77,1911,626,14550,4620,500,700,80,88,12.3,26,12851,56,Illinois Institute of Technology,Illinois,IL,Private,4 Year,12762.0,47296,60058,47296,60058
196,Illinois State University,No,8681,6695,2408,10,35,15701,1823,7799,3403,537,2605,77,84,21.0,16,5569,54,Illinois State University,Illinois,IL,Public,4 Year,9850.0,14516,24366,26040,35890
197,Illinois Wesleyan University,Yes,3050,1342,471,55,86,1818,23,14360,4090,400,650,77,92,12.9,34,9605,83,Illinois Wesleyan University,Illinois,IL,Private,4 Year,10984.0,47636,58620,47636,58620
198,Indiana State University,No,5659,4761,3147,10,31,8596,1949,6892,3706,600,2500,72,76,16.6,8,6996,40,Indiana State University,Indiana,IN,Public,4 Year,10590.0,9090,19680,19836,30426
199,Indiana Wesleyan University,Yes,735,423,366,20,48,2448,707,9210,3782,700,1000,49,51,39.8,15,6562,34,Indiana Wesleyan University,Indiana,IN,Private,4 Year,8312.0,25980,34292,25980,34292
200,Iona College,Yes,4892,3530,913,13,33,3906,1446,10690,6790,570,1150,66,83,16.0,14,8107,66,Iona College,New York,NY,Private,4 Year,15278.0,38812,54090,38812,54090
201,Iowa State University,No,8427,7424,3441,26,59,18676,1715,7550,3224,640,2055,81,88,19.2,22,8420,65,Iowa State University,Iowa,IA,Public,4 Year,8720.0,8988,17708,23392,32112
202,Ithaca College,Yes,7259,5526,1368,23,52,5612,166,14424,6192,634,1000,58,79,11.5,25,9812,75,Ithaca College,New York,NY,Private,4 Year,15562.0,43978,59540,43978,59540
203,James Madison University,No,11223,5285,2082,32,72,9652,742,7994,4544,500,732,77,81,17.9,29,5212,98,James Madison University,Virginia,VA,Public,4 Year,10092.0,12016,22108,28416,38508
204,John Brown University,Yes,605,405,284,24,53,961,99,6398,3672,400,1350,68,68,13.3,19,8118,75,John Brown University,Arkansas,AR,Private,4 Year,9224.0,26928,36152,26928,36152
205,John Carroll University,Yes,2421,2109,820,27,57,3168,392,11700,5550,600,450,89,90,14.5,28,7738,89,John Carroll University,Ohio,OH,Private,4 Year,11874.0,41340,53214,41340,53214
206,Johns Hopkins University,Yes,8474,3446,911,75,94,3566,1569,18800,6740,500,1040,96,97,3.3,38,56233,90,Johns Hopkins University,Maryland,MD,Private,4 Year,15836.0,54240,70076,54240,70076
207,Judson College,Yes,313,228,137,10,30,552,67,9414,4554,500,1700,34,55,10.6,30,7840,56,Judson College,Alabama,AL,Private,4 Year,10590.0,18510,29100,18510,29100
208,Juniata College,Yes,1005,859,298,36,55,1075,43,14850,4460,450,420,97,97,12.7,37,12067,80,Juniata College,Pennsylvania,PA,Private,4 Year,12521.0,45597,58118,45597,58118
209,Kansas State University,No,5880,4075,2833,25,55,14914,2246,6995,3120,600,2000,76,86,18.5,22,6122,54,Kansas State University,Kansas,KS,Public,4 Year,9680.0,10263,19943,25767,35447
210,Kansas Wesleyan University,Yes,589,575,148,16,40,474,258,8400,3250,500,1400,63,55,12.4,14,6535,68,Kansas Wesleyan University,Kansas,KS,Private,4 Year,9500.0,29500,39000,29500,39000
211,Keene State College,No,3121,2446,822,5,19,3480,776,7870,4157,500,1150,73,73,16.1,13,6195,61,Keene State College,New Hampshire,NH,Public,4 Year,11026.0,14212,25238,23176,34202
212,Kentucky Wesleyan College,Yes,584,497,175,20,49,662,121,8000,4150,500,1300,57,65,11.3,32,7058,62,Kentucky Wesleyan College,Kentucky,KY,Private,4 Year,9764.0,26440,36204,26440,36204
213,Kenyon College,Yes,2212,1538,408,44,75,1445,1,19240,3690,750,480,95,95,11.1,46,14067,88,Kenyon College,Ohio,OH,Private,4 Year,12510.0,55930,68440,55930,68440
214,Keuka College,Yes,461,381,174,10,43,738,55,9600,4550,600,750,55,94,13.3,43,7863,51,Keuka College,New York,NY,Private,4 Year,11906.0,32093,43999,32093,43999
215,King's College,Yes,1456,1053,381,20,45,500,541,10910,5160,400,1795,66,72,15.6,37,7649,87,King's College,Pennsylvania,PA,Private,4 Year,12940.0,37226,50166,37226,50166
216,Knox College,Yes,1040,845,286,48,77,967,24,15747,4062,400,800,88,95,12.7,33,13224,79,Knox College,Illinois,IL,Private,4 Year,9870.0,46554,56424,46554,56424
217,La Roche College,Yes,361,321,185,10,41,650,819,8842,4782,600,1100,57,73,14.2,14,7022,52,La Roche College,Pennsylvania,PA,Private,4 Year,11556.0,28564,40120,28564,40120
218,La Salle University,Yes,2929,1834,622,20,56,2738,1662,12600,5610,450,3160,90,90,15.1,9,9084,84,La Salle University,Pennsylvania,PA,Private,4 Year,15080.0,30560,45640,30560,45640
219,Lafayette College,Yes,4010,2402,572,36,59,2018,226,18730,5740,600,1000,93,96,10.5,38,15365,92,Lafayette College,Pennsylvania,PA,Private,4 Year,15640.0,52880,68520,52880,68520
220,LaGrange College,Yes,544,399,177,15,35,600,363,6987,3585,750,1500,77,83,12.5,12,9067,75,LaGrange College,Georgia,GA,Private,4 Year,11630.0,30470,42100,30470,42100
221,Lake Forest College,Yes,979,638,271,31,70,968,20,16880,3970,920,1320,91,94,10.7,19,15687,77,Lake Forest College,Illinois,IL,Private,4 Year,10390.0,47064,57454,47064,57454
222,Lamar University,No,2336,1725,1043,10,27,5438,4058,4752,3040,508,1463,48,82,18.4,12,5879,26,Lamar University,Texas,TX,Public,4 Year,8920.0,10192,19112,22642,31562
223,Lander University,No,1166,1009,510,9,33,2074,341,4938,2987,528,1702,67,77,17.0,11,6119,51,Lander University,South Carolina,SC,Public,4 Year,9100.0,11700,20800,21300,30400
224,Lawrence University,Yes,1243,947,324,50,77,1129,74,17163,3891,525,975,76,92,10.1,57,13965,77,Lawrence University,Wisconsin,WI,Private,4 Year,10341.0,47475,57816,47475,57816
225,Le Moyne College,Yes,1470,1199,425,21,76,1820,558,11040,4840,400,900,89,92,13.3,28,8118,94,Le Moyne College,New York,NY,Private,4 Year,13780.0,34625,48405,34625,48405
226,Lebanon Valley College,Yes,1386,1060,320,28,56,965,502,13850,4755,400,1125,84,84,12.3,30,8196,85,Lebanon Valley College,Pennsylvania,PA,Private,4 Year,11860.0,43650,55510,43650,55510
227,Lehigh University,Yes,6397,4304,1092,40,84,4298,132,18700,5580,750,1130,96,99,12.5,43,14665,91,Lehigh University,Pennsylvania,PA,Private,4 Year,13600.0,52930,66530,52930,66530
228,LeTourneau University,Yes,477,417,204,29,54,1532,77,8840,4240,600,1400,58,70,20.8,23,6863,56,LeTourneau University,Texas,TX,Private,4 Year,9970.0,30210,40180,30210,40180
229,Lewis University,Yes,1154,1050,395,12,31,2192,1423,10560,4520,500,1200,36,48,14.3,10,7701,61,Lewis University,Illinois,IL,Private,4 Year,10578.0,32450,43028,32450,43028
230,Lincoln Memorial University,Yes,787,562,363,21,55,925,605,5950,2890,600,1300,67,72,14.6,35,5177,53,Lincoln Memorial University,Tennessee,TN,Private,4 Year,8000.0,22010,30010,22010,30010
232,Lincoln University,No,1660,1091,326,15,41,1196,33,4818,3400,350,1400,71,72,12.6,8,10912,45,Lincoln University,Pennsylvania,PA,Public,4 Year,9588.0,11666,21254,16802,26390
233,Lincoln University,No,1660,1091,326,15,41,1196,33,4818,3400,350,1400,71,72,12.6,8,10912,45,Lincoln University,Missouri,MO,Public,4 Year,7068.0,7632,14700,14172,21240
234,Linfield College,Yes,1561,1188,458,48,72,1548,840,13380,4210,500,900,89,91,17.8,34,8747,81,Linfield College,Oregon,OR,Private,4 Year,12420.0,43232,55652,43232,55652
235,Livingstone College,Yes,900,473,217,22,47,621,11,4400,3400,800,900,53,93,10.4,16,9268,92,Livingstone College,North Carolina,NC,Private,4 Year,6794.0,18297,25091,18297,25091
236,Lock Haven University of Pennsylvania,No,3570,2215,651,17,41,3390,325,7352,3620,225,500,47,55,16.1,14,6374,63,Lock Haven University of Pennsylvania,Pennsylvania,PA,Public,4 Year,10368.0,10878,21246,20452,30820
237,Loras College,Yes,1641,1283,527,20,39,1663,170,11200,4000,500,1200,61,62,14.2,24,7578,70,Loras College,Iowa,IA,Private,4 Year,8275.0,34184,42459,34184,42459
238,Louisiana College,Yes,2013,1053,212,33,61,912,158,5150,3036,500,1655,64,74,10.5,11,7547,59,Louisiana College,Louisiana,LA,Private,4 Year,5618.0,17000,22618,17000,22618
239,Louisiana Tech University,No,2397,2144,1525,22,45,6720,1822,3957,2325,618,1656,66,77,20.0,13,4546,45,Louisiana Tech University,Louisiana,LA,Public,4 Year,6495.0,9645,16140,18558,25053
240,Loyola Marymount University,Yes,3768,2662,753,42,64,3558,436,13592,5916,545,1328,84,88,14.2,10,11677,84,Loyola Marymount University,California,CA,Private,4 Year,14490.0,48522,63012,48522,63012
241,Loyola University Chicago,Yes,3579,2959,868,25,55,5244,3417,11500,5330,700,2000,94,95,6.2,15,13009,65,Loyola University Chicago,Illinois,IL,Private,4 Year,14480.0,44048,58528,44048,58528
242,Luther College,Yes,1549,1392,587,38,72,2269,85,13240,3560,600,400,73,85,13.8,38,8949,77,Luther College,Iowa,IA,Private,4 Year,9460.0,42290,51750,42290,51750
243,Lycoming College,Yes,1286,1005,363,16,37,1363,74,13900,4300,500,900,75,81,14.0,32,8024,72,Lycoming College,Pennsylvania,PA,Private,4 Year,12568.0,40315,52883,40315,52883
244,Lyndon State College,No,535,502,223,6,20,959,150,7320,4640,500,600,48,65,12.6,15,7114,51,Lyndon State College,Vermont,VT,Public,4 Year,10598.0,12074,22672,25394,35992
245,Macalester College,Yes,2939,1496,452,56,86,1723,113,15909,4772,500,700,85,91,11.9,37,14213,77,Macalester College,Minnesota,MN,Private,4 Year,12156.0,54344,66500,54344,66500
246,MacMurray College,Yes,740,558,177,12,29,628,63,9620,3750,550,950,49,55,10.8,33,10642,59,MacMurray College,Illinois,IL,Private,4 Year,9440.0,27690,37130,27690,37130
247,Manhattan College,Yes,2432,1730,563,20,63,2578,254,12370,6800,500,1800,92,92,13.6,25,10062,79,Manhattan College,New York,NY,Private,4 Year,16200.0,43480,59680,43480,59680
248,Manhattanville College,Yes,962,750,212,21,54,830,150,14700,6550,450,400,97,97,11.3,24,11291,70,Manhattanville College,New York,NY,Private,4 Year,14520.0,38820,53340,38820,53340
249,Marietta College,Yes,1611,960,342,27,60,1089,210,13850,3920,470,810,80,97,13.2,30,10223,96,Marietta College,Ohio,OH,Private,4 Year,11320.0,36040,47360,36040,47360
250,Marist College,Yes,4731,3171,830,12,31,3557,658,10700,5925,550,1200,74,81,17.6,34,8408,69,Marist College,New York,NY,Private,4 Year,15550.0,39600,55150,39600,55150
251,Marquette University,Yes,5152,4600,1685,36,71,7016,804,11610,4760,600,1950,86,94,13.5,25,9982,77,Marquette University,Wisconsin,WI,Private,4 Year,12720.0,41870,54590,41870,54590
252,Marshall University,Yes,4226,3666,2007,14,60,7703,2339,5094,4010,700,1560,77,86,16.6,10,6203,50,Marshall University,West Virginia,WV,Public,4 Year,10450.0,8128,18578,18614,29064
253,Marymount Manhattan College,Yes,695,535,239,21,30,988,785,10200,7000,350,1100,63,76,11.7,20,10622,68,Marymount Manhattan College,New York,NY,Private,4 Year,16832.0,33778,50610,33778,50610
254,Marymount University,Yes,941,772,214,10,30,1247,776,11390,5280,500,750,77,82,10.6,17,8575,55,Marymount University,Virginia,VA,Private,4 Year,13190.0,31466,44656,31466,44656
255,Maryville College,Yes,1464,888,176,26,52,624,128,11200,4208,500,1642,80,90,11.1,43,8317,51,Maryville College,Tennessee,TN,Private,4 Year,11424.0,34880,46304,34880,46304
256,Massachusetts Institute of Technology,Yes,6411,2140,1078,96,99,4481,28,20100,5975,725,1600,99,99,10.1,35,33541,94,Massachusetts Institute of Technology,Massachusetts,MA,Private,4 Year,15510.0,51832,67342,51832,67342
257,Mayville State University,No,233,233,153,5,12,658,58,4486,2516,600,1900,68,68,15.7,11,6971,51,Mayville State University,North Dakota,ND,Public,4 Year,7840.0,6666,14506,9399,17239
258,McMurry University,Yes,578,411,187,25,50,880,477,6930,3452,400,1525,57,64,11.0,11,6383,32,McMurry University,Texas,TX,Private,4 Year,8602.0,27244,35846,27244,35846
259,McPherson College,Yes,420,293,93,11,32,336,80,7950,3750,600,2740,54,54,9.8,45,9754,48,McPherson College,Kansas,KS,Private,4 Year,8788.0,28951,37739,28951,37739
260,Mercer University,Yes,2286,1668,564,37,70,2943,1260,11985,4081,400,1500,93,95,9.2,15,8995,91,Mercer University,Georgia,GA,Private,4 Year,11616.0,36894,48510,36894,48510
261,Meredith College,Yes,857,772,376,25,58,1721,470,6720,3250,450,1520,77,82,13.9,33,6881,82,Meredith College,North Carolina,NC,Private,4 Year,10930.0,37176,48106,37176,48106
262,Merrimack College,Yes,1981,1541,514,18,36,1927,1084,12500,6200,375,1000,73,75,16.8,22,8707,80,Merrimack College,Massachusetts,MA,Private,4 Year,15845.0,41760,57605,41760,57605
263,Messiah College,Yes,1742,1382,607,30,64,2258,53,10300,5080,475,1200,68,75,14.1,30,7762,89,Messiah College,Pennsylvania,PA,Private,4 Year,10520.0,35160,45680,35160,45680
264,Michigan State University,No,18114,15096,6180,23,57,26640,4120,10658,3734,504,600,93,95,14.0,9,10520,71,Michigan State University,Michigan,MI,Public,4 Year,10322.0,14460,24782,39765,50087
265,Michigan Technological University,No,2618,2288,1032,42,77,5524,414,8127,3978,900,1200,82,82,17.0,25,7473,65,Michigan Technological University,Michigan,MI,Public,4 Year,10756.0,15646,26402,33726,44482
266,Milligan College,Yes,610,461,189,26,52,685,49,8200,3300,550,1000,63,69,12.0,16,8128,64,Milligan College,Tennessee,TN,Private,4 Year,7100.0,33700,40800,33700,40800
267,Millikin University,Yes,1444,1261,456,29,62,1788,95,11910,4378,450,965,60,77,11.4,25,8149,75,Millikin University,Illinois,IL,Private,4 Year,11818.0,35102,46920,35102,46920
268,Millsaps College,Yes,905,834,319,32,61,1073,179,11320,4402,550,1350,82,89,12.7,38,11218,58,Millsaps College,Mississippi,MS,Private,4 Year,13730.0,39910,53640,39910,53640
269,Milwaukee School of Engineering,Yes,1217,1088,496,36,69,1773,884,11505,3255,1000,2075,35,46,16.7,23,7140,67,Milwaukee School of Engineering,Wisconsin,WI,Private,4 Year,10389.0,40749,51138,40749,51138
270,Mississippi College,Yes,594,385,307,36,57,1695,721,5580,2830,600,700,77,79,16.5,18,6170,61,Mississippi College,Mississippi,MS,Private,4 Year,10300.0,18026,28326,18026,28326
