,name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
0,Adams State University,Colorado,CO,Public,4 Year,8782.0,9440,18222,20456,29238,16,Colorado,44400,81400,56.0,3
1,Adventist University of Health Sciences,Florida,FL,Private,4 Year,4200.0,15150,19350,15150,19350,14,Florida,51600,89800,88.0,5
2,Agnes Scott College,Georgia,GA,Private,4 Year,12330.0,41160,53490,41160,53490,14,Georgia,46000,83600,57.0,26
3,Alabama State University,Alabama,AL,Public,4 Year,5422.0,11068,16490,19396,24818,20,Alabama,39800,71500,61.0,16
4,Alaska Pacific University,Alaska,AK,Private,4 Year,7300.0,20830,28130,20830,28130,3,Alaska,50300,90000,67.0,6
5,Albany College of Pharmacy and Health Sciences,New York,NY,Private,4 Year,10920.0,35105,46025,35105,46025,1,New-York,81000,144800,82.0,2
6,Albertus Magnus College,Connecticut,CT,Private,4 Year,13200.0,32060,45260,32060,45260,18,Connecticut,49700,85900,62.0,2
7,Albion College,Michigan,MI,Private,4 Year,12380.0,45775,58155,45775,58155,7,Michigan,52100,99300,44.0,23
8,Alcorn State University,Mississippi,MS,Public,4 Year,9608.0,7144,16752,7144,16752,10,Mississippi,40900,69500,67.0,19
10,Alma College,Michigan,MI,Private,4 Year,10998.0,40258,51256,40258,51256,15,Michigan,48400,89900,52.0,15
12,Amherst College,Massachusetts,MA,Private,4 Year,14740.0,56426,71166,56426,71166,10,Massachusetts,63800,116500,45.0,32
14,Andrews University,Michigan,MI,Private,4 Year,9078.0,29288,38366,29288,38366,21,Michigan,47600,85000,51.0,7
15,Appalachian State University,North Carolina,NC,Public,4 Year,8304.0,7214,15518,22021,30325,15,North-Carolina,46600,82700,47.0,9
17,Arkansas Tech University,Arkansas,AR,Public,4 Year,7870.0,9068,16938,15848,23718,13,Arkansas,45000,76900,54.0,7
18,Armstrong State University,Georgia,GA,Public,4 Year,11385.0,6384,17769,19866,31251,16,Georgia,46600,81500,60.0,10
19,Asbury University,Kentucky,KY,Private,4 Year,7160.0,30198,37358,30198,37358,20,Kentucky,39400,70800,59.0,4
21,Auburn University,Alabama,AL,Public,4 Year,13332.0,11276,24608,30524,43856,1,Alabama,54400,104500,51.0,31
22,Auburn University at Montgomery,Alabama,AL,Public,4 Year,6980.0,10288,17268,22048,29028,13,Alabama,45000,79600,61.0,12
23,Augsburg University,Minnesota,MN,Private,4 Year,10280.0,38800,49080,38800,49080,12,Minnesota,50500,91000,52.0,11
24,Augusta University,Georgia,GA,Public,4 Year,9640.0,10758,20398,29796,39436,13,Georgia,47000,84400,69.0,10
25,Augustana University,South Dakota,SD,Private,4 Year,8248.0,33018,41266,33018,41266,3,South-Dakota,47900,88400,54.0,18
26,Austin Peay State University,Tennessee,TN,Public,4 Year,10700.0,8411,19111,24467,35167,20,Tennessee,44200,78200,63.0,10
27,Avila University,Missouri,MO,Private,4 Year,7200.0,19900,27100,19900,27100,17,Missouri,45900,81200,68.0,3
28,Babson College,Massachusetts,MA,Private,4 Year,16312.0,51104,67416,51104,67416,4,Massachusetts,72000,133800,37.0,0
29,Baker University,Kansas,KS,Private,4 Year,8410.0,29830,38240,29830,38240,10,Kansas,47800,84200,55.0,2
30,Ball State University,Indiana,IN,Public,4 Year,10234.0,9896,20130,26468,36702,22,Indiana,45600,83700,48.0,7
31,Barnard College,New York,NY,Private,4 Year,17225.0,55032,72257,55032,72257,19,New-York,59200,109800,57.0,19
32,Barry University,Florida,FL,Private,4 Year,11100.0,29850,40950,29850,40950,24,Florida,47400,84400,66.0,12
33,Barton College,North Carolina,NC,Private,4 Year,10120.0,30880,41000,30880,41000,24,North-Carolina,42400,77900,62.0,6
35,Bates College,Maine,ME,Private,4 Year,15224.0,53794,69018,53794,69018,3,Maine,59500,111900,50.0,23
36,Baylor University,Texas,TX,Private,4 Year,12595.0,45727,58322,45727,58322,12,Texas,55500,101400,49.0,16
37,Belhaven University,Mississippi,MS,Private,4 Year,8500.0,25300,33800,25300,33800,7,Mississippi,41200,74300,60.0,2
38,Bellarmine University,Kentucky,KY,Private,4 Year,12250.0,42200,54450,42200,54450,3,Kentucky,49000,90700,54.0,11
40,Bellevue University,Nebraska,NE,Private,4 Year,8730.0,9390,18120,9390,18120,10,Nebraska,49400,84800,57.0,23
42,Belmont Abbey College,North Carolina,NC,Private,4 Year,10355.0,18500,28855,18500,28855,14,North-Carolina,46700,82900,49.0,7
43,Belmont University,Tennessee,TN,Private,4 Year,12120.0,34310,46430,34310,46430,17,Tennessee,47300,80900,47.0,3
44,Beloit College,Wisconsin,WI,Private,4 Year,8830.0,50040,58870,50040,58870,17,Wisconsin,47400,85700,59.0,24
45,Benedict College,South Carolina,SC,Private,4 Year,6200.0,16600,22800,16600,22800,24,South-Carolina,38100,67500,61.0,19
46,Benedictine College,Kansas,KS,Private,4 Year,10300.0,29530,39830,29530,39830,3,Kansas,48700,91800,69.0,13
47,Bennington College,Vermont,VT,Private,4 Year,15610.0,54360,69970,54360,69970,6,Vermont,48800,90000,50.0,5
48,Bentley University,Massachusetts,MA,Private,4 Year,16320.0,49880,66200,49880,66200,9,Massachusetts,66600,116600,36.0,7
49,Berea College,Kentucky,KY,Private,4 Year,6764.0,39990,46754,39990,46754,19,Kentucky,39500,71600,53.0,27
50,Berry College,Georgia,GA,Private,4 Year,12770.0,36556,49326,36556,49326,12,Georgia,44900,84900,44.0,21
51,Black Hills State University,South Dakota,SD,Public,4 Year,6978.0,8733,15711,11778,18756,10,South-Dakota,40400,72600,51.0,11
52,Bloomfield College,New Jersey,NJ,Private,4 Year,11950.0,29550,41500,29550,41500,23,New-Jersey,48400,89100,55.0,17
54,Boise State University,Idaho,ID,Public,4 Year,10692.0,7694,18386,23776,34468,4,Idaho,50100,86400,55.0,14
55,Boston College,Massachusetts,MA,Private,4 Year,14478.0,55464,69942,55464,69942,11,Massachusetts,63600,115400,43.0,13
56,Boston University,Massachusetts,MA,Private,4 Year,15720.0,53948,69668,53948,69668,13,Massachusetts,61400,113600,43.0,25
57,Bowdoin College,Maine,ME,Private,4 Year,14698.0,53922,68620,53922,68620,2,Maine,61300,112000,54.0,37
58,Bowie State University,Maryland,MD,Public,4 Year,10904.0,8233,19137,18873,29777,18,Maryland,50300,89900,65.0,11
59,Bradley University,Illinois,IL,Private,4 Year,10620.0,33760,44380,33760,44380,6,Illinois,55600,104900,46.0,38
60,Brandeis University,Massachusetts,MA,Private,4 Year,15440.0,55395,70835,55395,70835,14,Massachusetts,60600,113200,48.0,29
61,Brescia University,Kentucky,KY,Private,4 Year,9200.0,22400,31600,22400,31600,10,Kentucky,44300,81200,53.0,7
62,Brigham Young University-Hawaii,Hawaii,HI,Private,4 Year,6586.0,5560,12146,5560,12146,1,Hawaii,51700,93900,57.0,12
63,Brigham Young University-Idaho,Idaho,ID,Private,4 Year,4592.0,4118,8710,4118,8710,2,Idaho,53700,93500,59.0,14
64,Brown University,Rhode Island,RI,Private,4 Year,14670.0,55656,70326,55656,70326,1,Rhode-Island,68200,127600,45.0,43
65,Bryant University,Rhode Island,RI,Private,4 Year,15702.0,43973,59675,43973,59675,2,Rhode-Island,60500,108600,37.0,8
66,Bucknell University,Pennsylvania,PA,Private,4 Year,13662.0,56092,69754,56092,69754,5,Pennsylvania,66700,122900,40.0,40
67,Butler University,Indiana,IN,Private,4 Year,13830.0,41120,54950,41120,54950,7,Indiana,51800,99300,53.0,9
68,California Institute of Technology,California,CA,Private,4 Year,15525.0,52362,67887,52362,67887,3,California,84100,151600,53.0,97
69,Calvin College,Michigan,MI,Private,4 Year,10200.0,34600,44800,34600,44800,13,Michigan,50200,91100,54.0,23
70,Cameron University,Oklahoma,OK,Public,4 Year,5452.0,6450,11902,15870,21322,11,Oklahoma,43900,81500,54.0,14
71,Campbell University,North Carolina,NC,Private,4 Year,11430.0,32500,43930,32500,43930,16,North-Carolina,46300,82400,56.0,8
72,Campbellsville University,Kentucky,KY,Private,4 Year,8000.0,25400,33400,25400,33400,24,Kentucky,37600,66800,50.0,7
73,Capitol Technology University,Maryland,MD,Private,4 Year,5708.0,25428,31136,25428,31136,2,Maryland,67400,118400,63.0,88
74,Cardinal Stritch University,Wisconsin,WI,Private,4 Year,8440.0,29998,38438,29998,38438,20,Wisconsin,47000,82500,51.0,2
75,Carleton College,Minnesota,MN,Private,4 Year,14085.0,54759,68844,54759,68844,1,Minnesota,58800,109900,47.0,45
76,Carnegie Mellon University,Pennsylvania,PA,Private,4 Year,14418.0,55465,69883,55465,69883,1,Pennsylvania,75900,136100,45.0,66
77,Carroll College,Montana,MT,Private,4 Year,9880.0,35486,45366,35486,45366,3,Montana,48200,91400,55.0,25
78,Carroll University,Wisconsin,WI,Private,4 Year,9484.0,31918,41402,31918,41402,16,Wisconsin,45600,86500,49.0,14
79,Carson-Newman University,Tennessee,TN,Private,4 Year,8810.0,27900,36710,27900,36710,23,Tennessee,42700,76500,61.0,5
80,Carthage College,Wisconsin,WI,Private,4 Year,11990.0,43550,55540,43550,55540,18,Wisconsin,48900,85400,48.0,17
81,Case Western Reserve University,Ohio,OH,Private,4 Year,15190.0,49042,64232,49042,64232,1,Ohio,66600,117800,44.0,37
82,Castleton University,Vermont,VT,Public,4 Year,10598.0,12314,22912,28322,38920,11,Vermont,41700,76200,52.0,6
83,Catawba College,North Carolina,NC,Private,4 Year,10488.0,30520,41008,30520,41008,22,North-Carolina,42500,78100,58.0,11
84,Centenary College of Louisiana,Louisiana,LA,Private,4 Year,13400.0,36580,49980,36580,49980,10,Louisiana,47000,88400,37.0,26
87,Central College,Iowa,IA,Private,4 Year,10280.0,37295,47575,37295,47575,9,Iowa,49000,88800,55.0,36
88,Central Connecticut State University,Connecticut,CT,Public,4 Year,12176.0,10616,22792,21856,34032,12,Connecticut,53100,93700,45.0,15
89,Central Michigan University,Michigan,MI,Public,4 Year,10076.0,12960,23036,12960,23036,23,Michigan,47700,83600,46.0,13
90,Central Washington University,Washington,WA,Public,4 Year,11115.0,8072,19187,23053,34168,14,Washington,52700,93200,47.0,13
91,Centre College,Kentucky,KY,Private,4 Year,10480.0,41700,52180,41700,52180,4,Kentucky,49500,88500,52.0,22
92,Chadron State College,Nebraska,NE,Public,4 Year,7380.0,7196,14576,7196,14576,16,Nebraska,42300,76700,66.0,3
93,Chaminade University of Honolulu,Hawaii,HI,Private,4 Year,13630.0,25374,39004,25374,39004,4,Hawaii,45400,84000,55.0,3
94,Champlain College,Vermont,VT,Private,4 Year,15354.0,41010,56364,41010,56364,7,Vermont,51100,88400,39.0,14
96,Charleston Southern University,South Carolina,SC,Private,4 Year,10200.0,25500,35700,25500,35700,17,South-Carolina,42800,76300,65.0,9
98,Christian Brothers University,Tennessee,TN,Private,4 Year,7400.0,32820,40220,32820,40220,4,Tennessee,51500,96500,60.0,14
99,Christopher Newport University,Virginia,VA,Public,4 Year,11460.0,14754,26214,27220,38680,17,Virginia,50800,87200,55.0,25
100,Claremont McKenna College,California,CA,Private,4 Year,16705.0,54405,71110,54405,71110,9,California,68500,125400,43.0,16
101,Clark Atlanta University,Georgia,GA,Private,4 Year,9524.0,23436,32960,23436,32960,18,Georgia,46300,81100,54.0,15
103,Clark University,Massachusetts,MA,Private,4 Year,9170.0,45730,54900,45730,54900,23,Massachusetts,52600,101400,47.0,14
104,Clarke University,Iowa,IA,Private,4 Year,9600.0,33350,42950,33350,42950,20,Iowa,44900,80200,52.0,6
105,Clarkson College,Nebraska,NE,Private,4 Year,5398.0,16920,22318,16920,22318,4,Nebraska,50900,91500,74.0,0
106,Clarkson University,New York,NY,Private,4 Year,14908.0,49444,64352,49444,64352,8,New-York,66400,130100,58.0,58
107,Cleary University,Michigan,MI,Private,4 Year,9600.0,20250,29850,20250,29850,22,Michigan,47400,84700,50.0,0
108,Clemson University,South Carolina,SC,Public,4 Year,10832.0,14970,25802,36724,47556,2,South-Carolina,57500,106700,50.0,39
109,Cleveland State University,Ohio,OH,Public,4 Year,13560.0,10625,24185,14992,28552,21,Ohio,48300,88600,51.0,20
110,Coastal Carolina University,South Carolina,SC,Public,4 Year,9190.0,11536,20726,26648,35838,13,South-Carolina,44700,77600,48.0,14
111,Coe College,Iowa,IA,Private,4 Year,9480.0,45000,54480,45000,54480,13,Iowa,47200,86900,41.0,24
112,Colby College,Maine,ME,Private,4 Year,14190.0,55210,69400,55210,69400,4,Maine,59200,103300,50.0,25
113,Colby-Sawyer College,New Hampshire,NH,Private,4 Year,14264.0,42398,56662,42398,56662,9,New-Hampshire,46400,83700,43.0,7
114,Colgate University,New York,NY,Private,4 Year,13995.0,55870,69865,55870,69865,7,New-York,68400,130600,41.0,26
115,College for Creative Studies,Michigan,MI,Private,4 Year,8800.0,44110,52910,44110,52910,16,Michigan,51200,89800,40.0,0
116,College of Charleston,South Carolina,SC,Public,4 Year,12166.0,12738,24904,31920,44086,8,South-Carolina,47300,85100,44.0,20
117,College of Saint Mary,Nebraska,NE,Private,4 Year,7700.0,20350,28050,20350,28050,14,Nebraska,43900,77700,45.0,9
118,College of the Holy Cross,Massachusetts,MA,Private,4 Year,14520.0,52770,67290,52770,67290,12,Massachusetts,61800,114600,46.0,24
119,College of William and Mary,Virginia,VA,Public,4 Year,12236.0,23400,35636,44701,56937,5,Virginia,59000,108900,42.0,21
120,Colorado Christian University,Colorado,CO,Private,4 Year,11846.0,31866,43712,31866,43712,17,Colorado,46800,80100,70.0,2
121,Colorado College,Colorado,CO,Private,4 Year,12512.0,55470,67982,55470,67982,5,Colorado,53100,97900,48.0,23
122,Colorado Mesa University,Colorado,CO,Public,4 Year,10925.0,9243,20168,22440,33365,14,Colorado,47800,81500,55.0,7
123,Colorado School of Mines,Colorado,CO,Public,4 Year,13169.0,18964,32133,38584,51753,1,Colorado,75600,139600,60.0,93
124,Columbia International University,South Carolina,SC,Private,4 Year,8150.0,23690,31840,23690,31840,25,South-Carolina,36600,66200,62.0,0
125,Columbus State University,Georgia,GA,Public,4 Year,9880.0,7200,17080,20682,30562,25,Georgia,43300,77900,59.0,10
126,Concord University,West Virginia,WV,Public,4 Year,8988.0,7896,16884,17320,26308,13,West-Virginia,41700,75800,53.0,9
127,Connecticut College,Connecticut,CT,Private,4 Year,15150.0,54820,69970,54820,69970,8,Connecticut,57500,100800,36.0,30
128,Converse College,South Carolina,SC,Private,4 Year,10930.0,18690,29620,18690,29620,21,South-Carolina,39000,71000,60.0,8
129,Cooper Union for the Advancement of Science and Art,New York,NY,Private,4 Year,16638.0,46700,63338,46700,63338,11,New-York,68500,126200,46.0,56
130,Corban University,Oregon,OR,Private,4 Year,10228.0,33040,43268,33040,43268,21,Oregon,42500,77300,63.0,1
131,Cornell College,Iowa,IA,Private,4 Year,9384.0,42299,51683,42299,51683,6,Iowa,49600,90600,47.0,22
132,Cornell University,New York,NY,Private,4 Year,14816.0,55188,70004,55188,70004,9,New-York,70100,128200,45.0,43
133,Cornish College of the Arts,Washington,WA,Private,4 Year,12400.0,41642,54042,41642,54042,21,Washington,49000,86400,39.0,0
134,Covenant College,Georgia,GA,Private,4 Year,10260.0,34330,44590,34330,44590,24,Georgia,44400,79400,62.0,19
135,Creighton University,Nebraska,NE,Private,4 Year,11036.0,39916,50952,39916,50952,2,Nebraska,53500,95800,56.0,9
136,Cumberland University,Tennessee,TN,Private,4 Year,9290.0,22890,32180,22890,32180,16,Tennessee,45500,81000,61.0,3
137,Dakota State University,South Dakota,SD,Public,4 Year,6873.0,9276,16149,12249,19122,5,South-Dakota,48400,84300,49.0,53
138,Dakota Wesleyan University,South Dakota,SD,Private,4 Year,7350.0,27300,34650,27300,34650,9,South-Dakota,41800,75700,52.0,10
139,Dartmouth College,New Hampshire,NH,Private,4 Year,15756.0,55453,71209,55453,71209,1,New-Hampshire,71500,130900,44.0,35
140,Davidson College,North Carolina,NC,Private,4 Year,14372.0,51447,65819,51447,65819,3,North-Carolina,57300,106900,50.0,28
141,Delaware State University,Delaware,DE,Public,4 Year,12190.0,7868,20058,16904,29094,3,Delaware,46300,81900,62.0,10
142,Delta State University,Mississippi,MS,Public,4 Year,7722.0,7246,14968,7246,14968,8,Mississippi,40800,74200,63.0,5
143,Denison University,Ohio,OH,Private,4 Year,12710.0,51960,64670,51960,64670,5,Ohio,54400,104800,45.0,22
144,DePaul University,Illinois,IL,Private,4 Year,14235.0,39975,54210,39975,54210,8,Illinois,55700,102900,43.0,15
145,DePauw University,Indiana,IN,Private,4 Year,13020.0,49704,62724,49704,62724,5,Indiana,56600,101000,47.0,24
146,Dickinson College,Pennsylvania,PA,Private,4 Year,13698.0,54661,68359,54661,68359,21,Pennsylvania,55800,100100,46.0,25
147,Dickinson State University,North Dakota,ND,Public,4 Year,6898.0,6765,13663,9544,16442,5,North-Dakota,46400,81200,55.0,8
148,Dillard University,Louisiana,LA,Private,4 Year,10100.0,18099,28199,18099,28199,17,Louisiana,44700,79800,74.0,20
149,Dordt College,Iowa,IA,Private,4 Year,9590.0,30870,40460,30870,40460,8,Iowa,51000,89600,57.0,17
150,Drake University,Iowa,IA,Private,4 Year,10528.0,41396,51924,41396,51924,2,Iowa,52800,99900,49.0,7
151,Drew University,New Jersey,NJ,Private,4 Year,14108.0,39500,53608,39500,53608,16,New-Jersey,52800,95000,37.0,16
152,Drexel University,Pennsylvania,PA,Private,4 Year,14079.0,53279,67358,53279,67358,9,Pennsylvania,61700,114800,47.0,28
153,Drury University,Missouri,MO,Private,4 Year,8096.0,28365,36461,28365,36461,19,Missouri,42600,79400,60.0,12
154,Duke University,North Carolina,NC,Private,4 Year,15178.0,55695,70873,55695,70873,1,North-Carolina,71100,132100,50.0,26
155,Earlham College,Indiana,IN,Private,4 Year,10400.0,46450,56850,46450,56850,13,Indiana,49100,88400,57.0,31
156,East Carolina University,North Carolina,NC,Public,4 Year,9606.0,7188,16794,23465,33071,11,North-Carolina,48400,85400,55.0,11
157,East Central University,Oklahoma,OK,Public,4 Year,5514.0,6810,12324,17700,23214,17,Oklahoma,44700,77500,66.0,9
158,East Tennessee State University,Tennessee,TN,Public,4 Year,8472.0,9277,17749,28459,36931,22,Tennessee,43700,77300,57.0,8
159,Eastern Connecticut State University,Connecticut,CT,Public,4 Year,13560.0,11356,24916,22596,36156,17,Connecticut,49200,87800,43.0,14
160,Eastern Kentucky University,Kentucky,KY,Public,4 Year,9018.0,9296,18314,19074,28092,11,Kentucky,45600,80700,56.0,5
161,Eastern Michigan University,Michigan,MI,Public,4 Year,9854.0,13959,23813,13959,23813,18,Michigan,47300,86700,50.0,6
162,Eastern Oregon University,Oregon,OR,Public,4 Year,10040.0,8679,18719,20739,30779,23,Oregon,44000,73900,56.0,5
163,Eastern Washington University,Washington,WA,Public,4 Year,12793.0,7323,20116,24444,37237,20,Washington,49500,87500,52.0,17
164,Eckerd College,Florida,FL,Private,4 Year,12588.0,44540,57128,44540,57128,17,Florida,49200,88400,52.0,25
165,Edgewood College,Wisconsin,WI,Private,4 Year,11020.0,29500,40520,29500,40520,15,Wisconsin,49500,87500,54.0,5
166,Elon University,North Carolina,NC,Private,4 Year,12230.0,35319,47549,35319,47549,6,North-Carolina,53600,93700,43.0,7
167,Emory University,Georgia,GA,Private,4 Year,14456.0,51306,65762,51306,65762,2,Georgia,62000,110800,44.0,20
168,Emporia State University,Kansas,KS,Public,4 Year,8912.0,6758,15670,20675,29587,19,Kansas,43500,78000,60.0,9
169,Erskine College,South Carolina,SC,Private,4 Year,10900.0,34560,45460,34560,45460,12,South-Carolina,43500,78000,57.0,28
170,Fairfield University,Connecticut,CT,Private,4 Year,14710.0,48350,63060,48350,63060,4,Connecticut,62300,116900,41.0,17
171,Fairmont State University,West Virginia,WV,Public,4 Year,9004.0,7514,16518,16324,25328,14,West-Virginia,42900,74100,53.0,7
172,Faulkner University,Alabama,AL,Private,4 Year,7750.0,21690,29440,21690,29440,21,Alabama,39400,71300,61.0,2
173,Felician University,New Jersey,NJ,Private,4 Year,12880.0,34315,47195,34315,47195,11,New-Jersey,53200,98200,51.0,10
174,Ferris State University,Michigan,MI,Public,4 Year,9894.0,12630,22524,12630,22524,17,Michigan,50000,89300,50.0,8
175,Ferrum College,Virginia,VA,Private,4 Year,11500.0,34175,45675,34175,45675,25,Virginia,43000,80600,54.0,6
176,Fisk University,Tennessee,TN,Private,4 Year,10790.0,21480,32270,21480,32270,11,Tennessee,45300,83600,53.0,39
177,Florida Agricultural and Mechanical University,Florida,FL,Public,4 Year,10594.0,5827,16421,17768,28362,25,Florida,48000,83900,62.0,8
178,Florida Atlantic University,Florida,FL,Public,4 Year,11896.0,6039,17935,21595,33491,11,Florida,49400,91200,51.0,15
179,Florida Institute of Technology,Florida,FL,Private,4 Year,12880.0,41850,54730,41850,54730,3,Florida,58300,105400,53.0,48
180,Florida International University,Florida,FL,Public,4 Year,10882.0,6558,17440,18956,29838,13,Florida,49600,90100,51.0,16
181,Florida State University,Florida,FL,Public,4 Year,10816.0,6516,17332,21683,32499,8,Florida,50800,92700,49.0,18
