,name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
552,University of Bridgeport,Connecticut,CT,Private,4 Year,13860.0,32850,46710,32850,46710,13,Connecticut,49900,93600,59.0,31
553,University of Central Arkansas,Arkansas,AR,Public,4 Year,6854.0,8751,15605,15274,22128,10,Arkansas,44900,79800,52.0,8
554,University of Central Florida,Florida,FL,Public,4 Year,9617.0,6368,15985,22467,32084,16,Florida,49700,88600,50.0,16
555,University of Central Missouri,Missouri,MO,Public,4 Year,8766.0,7673,16439,14442,23208,16,Missouri,46900,83300,54.0,45
556,University of Central Oklahoma,Oklahoma,OK,Public,4 Year,7970.0,7488,15458,18376,26346,10,Oklahoma,45300,82900,56.0,8
557,University of Charleston,West Virginia,WV,Private,4 Year,9180.0,30900,40080,30900,40080,8,West-Virginia,44600,81900,51.0,4
558,University of Chicago,Illinois,IL,Private,4 Year,16350.0,58230,74580,58230,74580,4,Illinois,64000,114200,41.0,22
559,University of Colorado Boulder,Colorado,CO,Public,4 Year,14418.0,12532,26950,37286,51704,3,Colorado,57800,109900,48.0,39
560,University of Colorado Colorado Springs,Colorado,CO,Public,4 Year,10500.0,10463,20963,24893,35393,9,Colorado,52200,90900,53.0,21
561,University of Connecticut,Connecticut,CT,Public,4 Year,12874.0,15730,28604,38098,50972,6,Connecticut,59100,105200,48.0,24
562,University of Dallas,Texas,TX,Private,4 Year,12400.0,40652,53052,40652,53052,21,Texas,53000,96400,49.0,16
563,University of Dayton,Ohio,OH,Private,4 Year,13580.0,42900,56480,42900,56480,4,Ohio,57400,105000,44.0,33
564,University of Delaware,Delaware,DE,Public,4 Year,12862.0,13680,26542,34310,47172,1,Delaware,58600,105400,43.0,22
565,University of Denver,Colorado,CO,Private,4 Year,13005.0,50556,63561,50556,63561,4,Colorado,55700,105100,48.0,12
566,University of Detroit Mercy,Michigan,MI,Private,4 Year,9496.0,28000,37496,28000,37496,10,Michigan,51800,92800,57.0,13
567,University of Dubuque,Iowa,IA,Private,4 Year,9930.0,34110,44040,34110,44040,21,Iowa,44200,79700,48.0,7
568,University of Evansville,Indiana,IN,Private,4 Year,12460.0,36416,48876,36416,48876,11,Indiana,50300,89900,54.0,17
569,University of Florida,Florida,FL,Public,4 Year,10120.0,6381,16501,28658,38778,4,Florida,55800,102800,52.0,29
570,University of Georgia,Georgia,GA,Public,4 Year,10038.0,11830,21868,30404,40442,3,Georgia,54400,100700,45.0,14
571,University of Hartford,Connecticut,CT,Private,4 Year,12476.0,40694,53170,40694,53170,7,Connecticut,55200,101600,53.0,15
572,University of Hawaii at Hilo,Hawaii,HI,Public,4 Year,11406.0,7720,19126,20680,32086,5,Hawaii,44000,77200,59.0,14
573,University of Hawaii at Manoa,Hawaii,HI,Public,4 Year,13689.0,11970,25659,34002,47691,3,Hawaii,51600,91600,56.0,18
575,University of Houston,Texas,TX,Public,4 Year,10270.0,12506,22776,27956,38226,9,Texas,56000,103900,50.0,24
577,University of Idaho,Idaho,ID,Public,4 Year,8880.0,7864,16744,25500,34380,1,Idaho,52300,97700,54.0,22
578,University of Illinois at Chicago,Illinois,IL,Public,4 Year,12074.0,13764,25838,26980,39054,7,Illinois,56300,103800,48.0,31
579,University of Illinois at Urbana-Champaign,Illinois,IL,Public,4 Year,11308.0,15094,26402,31664,42972,3,Illinois,62600,115300,44.0,36
580,University of Indianapolis,Indiana,IN,Private,4 Year,10288.0,29688,39976,29688,39976,21,Indiana,47300,84500,55.0,5
581,University of Iowa,Iowa,IA,Public,4 Year,11172.0,9267,20439,31233,42405,3,Iowa,54100,99400,48.0,16
582,University of Jamestown,North Dakota,ND,Private,4 Year,7570.0,21976,29546,21976,29546,3,North-Dakota,47600,85400,64.0,11
583,University of Kansas,Kansas,KS,Public,4 Year,10350.0,11148,21498,27358,37708,1,Kansas,53000,98600,52.0,16
584,University of Kentucky,Kentucky,KY,Public,4 Year,12982.0,12245,25227,29099,42081,1,Kentucky,51700,96400,48.0,19
585,University of Louisiana at Lafayette,Louisiana,LA,Public,4 Year,8516.0,10616,19132,24344,32860,5,Louisiana,48200,92500,52.0,19
586,University of Louisiana at Monroe,Louisiana,LA,Public,4 Year,7850.0,8734,16584,20834,28684,5,Louisiana,48500,92500,65.0,7
587,University of Louisville,Kentucky,KY,Public,4 Year,9226.0,11656,20882,27278,36504,5,Kentucky,49500,87600,50.0,18
588,University of Maine,Maine,ME,Public,4 Year,10418.0,11170,21588,30970,41388,5,Maine,52000,95000,50.0,24
590,University of Maine at Farmington,Maine,ME,Public,4 Year,9726.0,9666,19392,19778,29504,13,Maine,41100,71700,64.0,5
591,University of Maine at Fort Kent,Maine,ME,Public,4 Year,8220.0,8115,16335,12315,20535,11,Maine,43500,76300,73.0,5
592,University of Maine at Machias,Maine,ME,Public,4 Year,8486.0,7840,16326,15100,23586,16,Maine,37100,66200,47.0,13
593,University of Maine at Presque Isle,Maine,ME,Public,4 Year,8406.0,8035,16441,12235,20641,14,Maine,39000,70700,58.0,6
594,University of Mary,North Dakota,ND,Private,4 Year,6890.0,18720,25610,18720,25610,6,North-Dakota,46400,79100,64.0,3
595,University of Mary Washington,Virginia,VA,Public,4 Year,11118.0,12188,23306,27434,38552,10,Virginia,54200,98200,49.0,17
596,University of Memphis,Tennessee,TN,Public,4 Year,9975.0,9701,19676,21413,31388,8,Tennessee,47200,85800,55.0,12
597,University of Miami,Florida,FL,Private,4 Year,14108.0,50226,64334,50226,64334,6,Florida,56200,99600,48.0,22
598,University of Mississippi,Mississippi,MS,Public,4 Year,10696.0,8660,19356,24614,35310,2,Mississippi,48500,89100,55.0,12
599,University of Mobile,Alabama,AL,Private,4 Year,9600.0,22820,32420,22820,32420,19,Alabama,40600,74100,77.0,7
600,University of Montevallo,Alabama,AL,Public,4 Year,9330.0,12760,22090,25780,35110,22,Alabama,38900,70700,49.0,7
601,University of Mount Union,Ohio,OH,Private,4 Year,10200.0,31260,41460,31260,41460,22,Ohio,48300,88500,41.0,19
603,University of New England,Maine,ME,Private,4 Year,13990.0,37620,51610,37620,51610,6,Maine,50100,91500,69.0,7
605,University of New Haven,Connecticut,CT,Private,4 Year,15900.0,39270,55170,39270,55170,11,Connecticut,52100,94800,52.0,25
606,University of New Orleans,Louisiana,LA,Public,4 Year,10575.0,9054,19629,13890,24465,7,Louisiana,49900,91600,55.0,23
607,University of North Alabama,Alabama,AL,Public,4 Year,9200.0,10370,19570,18680,27880,18,Alabama,43000,75600,61.0,6
608,University of North Carolina at Chapel Hill,North Carolina,NC,Public,4 Year,11190.0,8987,20177,35170,46360,5,North-Carolina,55000,100800,49.0,19
609,University of North Carolina at Charlotte,North Carolina,NC,Public,4 Year,11100.0,7044,18144,20478,31578,8,North-Carolina,52500,92600,49.0,25
610,University of North Carolina School of the Arts,North Carolina,NC,Public,4 Year,9021.0,9358,18379,25501,34522,16,North-Carolina,46400,82400,44.0,0
611,University of North Dakota,North Dakota,ND,Public,4 Year,8974.0,8695,17669,20759,29733,2,North-Dakota,53800,96000,54.0,16
612,University of North Florida,Florida,FL,Public,4 Year,9976.0,6394,16370,20112,30088,19,Florida,48800,86600,51.0,11
613,University of North Georgia,Georgia,GA,Public,4 Year,7876.0,7336,15212,21148,29024,9,Georgia,47300,85600,51.0,8
614,University of Northern Colorado,Colorado,CO,Public,4 Year,11204.0,9786,20990,21474,32678,12,Colorado,47700,87100,52.0,7
615,University of Northern Iowa,Iowa,IA,Public,4 Year,8948.0,8938,17886,19480,28428,15,Iowa,47100,85300,46.0,8
616,University of Notre Dame,Indiana,IN,Private,4 Year,15410.0,53391,68801,53391,68801,2,Indiana,67000,130500,45.0,28
617,University of Oregon,Oregon,OR,Public,4 Year,12963.0,11898,24861,35478,48441,7,Oregon,51800,95800,46.0,13
618,University of Pennsylvania,Pennsylvania,PA,Private,4 Year,15616.0,55584,71200,55584,71200,3,Pennsylvania,72800,133900,41.0,21
619,University of Pikeville,Kentucky,KY,Private,4 Year,7800.0,20950,28750,20950,28750,21,Kentucky,39000,70700,74.0,11
620,University of Portland,Oregon,OR,Private,4 Year,13450.0,45904,59354,45904,59354,3,Oregon,58500,104900,52.0,28
621,University of Puget Sound,Washington,WA,Private,4 Year,12540.0,49776,62316,49776,62316,8,Washington,54200,101300,45.0,21
622,University of Rhode Island,Rhode Island,RI,Public,4 Year,12950.0,14138,27088,30862,43812,5,Rhode-Island,54500,99700,50.0,18
623,University of Richmond,Virginia,VA,Private,4 Year,12250.0,52610,64860,52610,64860,7,Virginia,59800,107500,48.0,13
624,University of Rochester,New York,NY,Private,4 Year,15938.0,53926,69864,53926,69864,16,New-York,61100,112700,50.0,32
625,University of Saint Joseph,Connecticut,CT,Private,4 Year,11428.0,39173,50601,39173,50601,14,Connecticut,49900,88800,63.0,9
626,University of San Diego,California,CA,Private,4 Year,12980.0,49358,62338,49358,62338,25,California,58900,109400,48.0,12
627,University of San Francisco,California,CA,Private,4 Year,14830.0,48066,62896,48066,62896,23,California,60600,109900,52.0,6
628,University of Science and Arts of Oklahoma,Oklahoma,OK,Public,4 Year,6350.0,7215,13565,17565,23915,23,Oklahoma,37300,67400,49.0,11
629,University of Scranton,Pennsylvania,PA,Private,4 Year,15182.0,44532,59714,44532,59714,23,Pennsylvania,56400,99700,42.0,12
630,University of Sioux Falls,South Dakota,SD,Private,4 Year,7350.0,18280,25630,18280,25630,6,South-Dakota,44400,78200,64.0,6
631,University of South Alabama,Alabama,AL,Public,4 Year,7620.0,9870,17490,19740,27360,9,Alabama,47700,86400,56.0,17
632,University of South Dakota,South Dakota,SD,Public,4 Year,8216.0,9061,17277,12425,20641,4,South-Dakota,47500,87900,56.0,8
633,University of Southern California,California,CA,Private,4 Year,15395.0,56225,71620,56225,71620,11,California,64500,120600,47.0,23
634,University of Southern Maine,Maine,ME,Public,4 Year,9450.0,9520,18970,22780,32230,9,Maine,46900,81300,55.0,8
635,University of Southern Mississippi,Mississippi,MS,Public,4 Year,9857.0,8734,18591,10734,20591,4,Mississippi,45100,83900,56.0,11
636,University of the Cumberlands,Kentucky,KY,Private,4 Year,9000.0,23000,32000,23000,32000,17,Kentucky,39800,73800,63.0,8
637,University of the Ozarks,Arkansas,AR,Private,4 Year,7400.0,24230,31630,24230,31630,14,Arkansas,42300,74500,58.0,16
638,University of the Sciences,Pennsylvania,PA,Private,4 Year,15938.0,25000,40938,25000,40938,8,Pennsylvania,60700,115200,72.0,12
639,University of Toledo,Ohio,OH,Public,4 Year,11434.0,9795,21229,19133,30567,18,Ohio,51800,92500,52.0,21
640,University of Tulsa,Oklahoma,OK,Private,4 Year,11116.0,41509,52625,41509,52625,1,Oklahoma,58700,107200,51.0,36
641,University of Utah,Utah,UT,Public,4 Year,10262.0,9222,19484,29215,39477,2,Utah,54800,102600,57.0,22
642,University of Vermont,Vermont,VT,Public,4 Year,12462.0,18276,30738,42516,54978,2,Vermont,53200,99400,50.0,22
643,University of West Alabama,Alabama,AL,Public,4 Year,8116.0,10040,18156,18490,26606,17,Alabama,42700,76100,61.0,4
644,University of West Georgia,Georgia,GA,Public,4 Year,10918.0,7292,18210,20774,31692,15,Georgia,46700,82700,51.0,9
645,University of Wisconsin-Eau Claire,Wisconsin,WI,Public,4 Year,7813.0,8820,16633,17096,24909,7,Wisconsin,52100,93600,46.0,14
646,University of Wisconsin-La Crosse,Wisconsin,WI,Public,4 Year,6331.0,9106,15437,17924,24255,14,Wisconsin,49600,88300,53.0,19
647,University of Wisconsin-Madison,Wisconsin,WI,Public,4 Year,11114.0,10555,21669,36805,47919,3,Wisconsin,57300,104400,48.0,33
648,University of Wisconsin-Milwaukee,Wisconsin,WI,Public,4 Year,10728.0,11084,21812,22364,33092,9,Wisconsin,50600,90300,50.0,17
649,University of Wisconsin-Oshkosh,Wisconsin,WI,Public,4 Year,7448.0,8820,16268,16393,23841,19,Wisconsin,47700,84300,52.0,10
650,University of Wisconsin-Parkside,Wisconsin,WI,Public,4 Year,8026.0,7529,15555,15518,23544,24,Wisconsin,46000,81400,47.0,17
651,University of Wisconsin-Platteville,Wisconsin,WI,Public,4 Year,7580.0,7571,15151,15421,23001,4,Wisconsin,56800,100300,50.0,38
652,University of Wisconsin-River Falls,Wisconsin,WI,Public,4 Year,6513.0,7862,14375,15435,21948,25,Wisconsin,47100,81300,52.0,14
653,University of Wisconsin-Stout,Wisconsin,WI,Public,4 Year,6924.0,9457,16381,17423,24347,11,Wisconsin,50400,89500,47.0,14
654,University of Wisconsin-Whitewater,Wisconsin,WI,Public,4 Year,6786.0,7692,14478,16265,23051,12,Wisconsin,48900,89300,44.0,8
655,University of Wyoming,Wyoming,WY,Public,4 Year,10320.0,5400,15720,17490,27810,1,Wyoming,52400,98800,58.0,25
656,Upper Iowa University,Iowa,IA,Private,4 Year,8454.0,30450,38904,30450,38904,24,Iowa,44200,78000,56.0,3
657,Ursinus College,Pennsylvania,PA,Private,4 Year,12750.0,52050,64800,52050,64800,18,Pennsylvania,54400,101800,42.0,40
658,Utah State University,Utah,UT,Public,4 Year,6400.0,7424,13824,21505,27905,4,Utah,52400,93900,61.0,14
660,Valdosta State University,Georgia,GA,Public,4 Year,8110.0,7476,15586,20958,29068,19,Georgia,43400,81000,57.0,7
661,Valley City State University,North Dakota,ND,Public,4 Year,6446.0,7626,14072,17166,23612,8,North-Dakota,39900,68600,56.0,3
662,Valparaiso University,Indiana,IN,Private,4 Year,11860.0,40260,52120,40260,52120,8,Indiana,53300,98000,52.0,31
663,Vanderbilt University,Tennessee,TN,Private,4 Year,16234.0,49816,66050,49816,66050,1,Tennessee,65400,119100,48.0,23
664,Vermont Technical College,Vermont,VT,Public,4 Year,10598.0,15108,25706,27780,38378,5,Vermont,52400,93900,41.0,4
665,Villanova University,Pennsylvania,PA,Private,4 Year,14020.0,53308,67328,53308,67328,7,Pennsylvania,65100,119500,41.0,23
666,Virginia Commonwealth University,Virginia,VA,Public,4 Year,10428.0,14490,24918,35138,45566,16,Virginia,49900,88200,52.0,18
667,Virginia Military Institute,Virginia,VA,Public,4 Year,9428.0,18862,28290,45706,55134,2,Virginia,65900,120600,68.0,47
668,Virginia Polytechnic Institute and State University,Virginia,VA,Public,4 Year,8934.0,13620,22554,31304,40238,4,Virginia,62700,114000,48.0,42
669,Virginia State University,Virginia,VA,Public,4 Year,11208.0,9056,20264,19576,30784,24,Virginia,44900,81800,61.0,14
670,Viterbo University,Wisconsin,WI,Private,4 Year,9060.0,27970,37030,27970,37030,22,Wisconsin,46800,81900,62.0,3
671,Wabash College,Indiana,IN,Private,4 Year,10050.0,43450,53500,43450,53500,3,Indiana,62200,114400,40.0,34
672,Wake Forest University,North Carolina,NC,Private,4 Year,16032.0,53322,69354,53322,69354,2,North-Carolina,60700,114800,44.0,13
673,Walla Walla University,Washington,WA,Private,4 Year,4275.0,28035,32310,28035,32310,11,Washington,53700,97800,54.0,22
675,Wartburg College,Iowa,IA,Private,4 Year,9996.0,41280,51276,41280,51276,12,Iowa,49300,88000,49.0,34
676,Washburn University,Kansas,KS,Public,4 Year,8237.0,8870,17107,19940,28177,12,Kansas,47000,83000,54.0,4
677,Washington Adventist University,Maryland,MD,Private,4 Year,9370.0,23900,33270,23900,33270,10,Maryland,55600,97600,63.0,9
678,Washington and Lee University,Virginia,VA,Private,4 Year,13925.0,52455,66380,52455,66380,1,Virginia,65900,123200,40.0,18
679,Washington College,Maryland,MD,Private,4 Year,12414.0,46978,59392,46978,59392,14,Maryland,52800,93500,55.0,21
680,Washington State University,Washington,WA,Public,4 Year,11398.0,11581,22979,26365,37763,5,Washington,55900,103700,50.0,20
681,Wayne State College,Nebraska,NE,Public,4 Year,7668.0,6989,14657,12299,19967,18,Nebraska,40600,73400,54.0,11
682,Wayne State University,Michigan,MI,Public,4 Year,10427.0,13347,23774,28241,38668,12,Michigan,50800,91700,53.0,21
684,Weber State University,Utah,UT,Public,4 Year,6279.0,5831,12110,16585,22864,3,Utah,53900,94000,60.0,8
685,Webster University,Missouri,MO,Private,4 Year,11050.0,27900,38950,27900,38950,15,Missouri,46500,83500,50.0,2
686,Wellesley College,Massachusetts,MA,Private,4 Year,16468.0,53732,70200,53732,70200,18,Massachusetts,58900,106200,48.0,34
687,Wentworth Institute of Technology,Massachusetts,MA,Private,4 Year,14190.0,33950,48140,33950,48140,15,Massachusetts,62700,112700,53.0,39
688,Wesley College,Delaware,DE,Private,4 Year,11717.0,26406,38123,26406,38123,4,Delaware,45400,77300,50.0,2
689,Wesleyan University,Connecticut,CT,Private,4 Year,15060.0,54914,69974,54914,69974,3,Connecticut,61600,117000,53.0,21
690,West Liberty University,West Virginia,WV,Public,4 Year,9406.0,7730,17136,15670,25076,10,West-Virginia,42500,77000,51.0,6
691,West Virginia State University,West Virginia,WV,Public,4 Year,11892.0,8167,20059,16072,27964,12,West-Virginia,41800,76000,46.0,8
692,West Virginia University,West Virginia,WV,Public,4 Year,10918.0,8856,19774,24950,35868,2,West-Virginia,54400,99900,52.0,22
694,West Virginia University Institute of Technology,West Virginia,WV,Public,4 Year,11390.0,7464,18854,18648,30038,1,West-Virginia,57100,103700,56.0,40
695,West Virginia Wesleyan College,West Virginia,WV,Private,4 Year,8856.0,31640,40496,31640,40496,5,West-Virginia,47000,85200,53.0,21
696,Western Carolina University,North Carolina,NC,Public,4 Year,9682.0,4220,13902,8220,17902,25,North-Carolina,44700,77700,58.0,8
697,Western Connecticut State University,Connecticut,CT,Public,4 Year,13072.0,10819,23891,22059,35131,15,Connecticut,51700,88100,50.0,6
699,Western Kentucky University,Kentucky,KY,Public,4 Year,8343.0,10602,18945,26496,34839,8,Kentucky,45500,83100,49.0,10
700,Western Michigan University,Michigan,MI,Public,4 Year,10143.0,12483,22626,15373,25516,11,Michigan,50900,92200,47.0,16
701,Western New England University,Massachusetts,MA,Private,4 Year,13590.0,36804,50394,36804,50394,20,Massachusetts,56400,103000,44.0,21
702,Western New Mexico University,New Mexico,NM,Public,4 Year,9136.0,6824,15960,15231,24367,5,New-Mexico,41700,76700,75.0,4
703,Western Oregon University,Oregon,OR,Public,4 Year,10415.0,9540,19955,26415,36830,20,Oregon,44500,79300,50.0,5
704,Western State Colorado University,Colorado,CO,Public,4 Year,9635.0,10114,19749,21586,31221,14,Colorado,44800,81500,47.0,19
705,Western Washington University,Washington,WA,Public,4 Year,11466.0,8132,19598,23544,35010,9,Washington,55000,99300,45.0,16
706,Wheeling Jesuit University,West Virginia,WV,Private,4 Year,9900.0,29290,39190,29290,39190,7,West-Virginia,44800,83400,57.0,5
707,Whitman College,Washington,WA,Private,4 Year,13174.0,51764,64938,51764,64938,7,Washington,54600,102600,53.0,33
708,Whitworth University,Washington,WA,Private,4 Year,11496.0,43640,55136,43640,55136,17,Washington,49900,88800,52.0,18
709,Wichita State University,Kansas,KS,Public,4 Year,11252.0,8271,19523,17452,28704,7,Kansas,48700,87300,57.0,24
710,Widener University,Pennsylvania,PA,Private,4 Year,14446.0,45948,60394,45948,60394,21,Pennsylvania,55700,100100,57.0,13
711,Willamette University,Oregon,OR,Private,4 Year,12440.0,50074,62514,50074,62514,6,Oregon,52200,97700,49.0,14
712,William Carey University,Mississippi,MS,Private,4 Year,6810.0,12600,19410,12600,19410,9,Mississippi,41100,71800,61.0,6
713,William Jewell College,Missouri,MO,Private,4 Year,9930.0,34400,44330,34400,44330,6,Missouri,51400,94500,60.0,12
714,William Paterson University of New Jersey,New Jersey,NJ,Public,4 Year,11445.0,13060,24505,21260,32705,21,New-Jersey,50500,90200,44.0,7
715,William Penn University,Iowa,IA,Private,4 Year,6952.0,25600,32552,25600,32552,23,Iowa,43900,78300,59.0,7
716,Williams College,Massachusetts,MA,Private,4 Year,14500.0,55450,69950,55450,69950,5,Massachusetts,67500,127500,47.0,32
718,Winona State University,Minnesota,MN,Public,4 Year,9010.0,9425,18435,15348,24358,16,Minnesota,49700,86800,51.0,10
719,Winthrop University,South Carolina,SC,Public,4 Year,9312.0,15590,24902,29846,39158,11,South-Carolina,44300,79700,49.0,9
720,Wisconsin Lutheran College,Wisconsin,WI,Private,4 Year,10190.0,29725,39915,29725,39915,20,Wisconsin,46200,82500,45.0,10
721,Wittenberg University,Ohio,OH,Private,4 Year,10356.0,39500,49856,39500,49856,3,Ohio,52400,105400,61.0,22
722,Wofford College,South Carolina,SC,Private,4 Year,12685.0,43845,56530,43845,56530,4,South-Carolina,51300,96600,51.0,28
723,Worcester Polytechnic Institute,Massachusetts,MA,Private,4 Year,14774.0,50530,65304,50530,65304,3,Massachusetts,73600,135500,47.0,86
724,Xavier University,Ohio,OH,Private,4 Year,12780.0,38530,51310,38530,51310,16,Ohio,51800,94000,46.0,7
725,Xavier University of Louisiana,Louisiana,LA,Private,4 Year,9047.0,24488,33535,24488,33535,11,Louisiana,46700,88200,63.0,35
726,Yale University,Connecticut,CT,Private,4 Year,16000.0,53430,69430,53430,69430,1,Connecticut,70300,138300,53.0,22
727,Yeshiva University,New York,NY,Private,4 Year,12250.0,43500,55750,43500,55750,15,New-York,63500,112800,40.0,11
